epoch,step,loss,eval_loss,eval_accuracy,eval_macro_f1,eval_ece,learning_rate
0.16,20,1.7436,,,,,1.6521739130434785e-05
0.32,40,1.581,,,,,1.9090909090909094e-05
0.48,60,1.6489,,,,,1.7954545454545454e-05
0.64,80,1.548,,,,,1.681818181818182e-05
0.8,100,1.5322,,,,,1.5681818181818182e-05
0.96,120,1.4016,,,,,1.4545454545454546e-05
1.0,125,,1.2799291610717773,0.554,0.22817286118427468,0.1846370157331475,
1.12,140,1.2326,,,,,1.3409090909090909e-05
1.28,160,1.1054,,,,,1.2272727272727274e-05
1.44,180,1.0168,,,,,1.1136363636363637e-05
1.6,200,1.0771,,,,,1e-05
1.76,220,0.8997,,,,,8.863636363636365e-06
1.92,240,0.932,,,,,7.727272727272727e-06
2.0,250,,0.8857473134994507,0.688,0.4579018699605421,0.14182482358044146,
2.08,260,0.8348,,,,,6.590909090909091e-06
2.24,280,0.7228,,,,,5.4545454545454545e-06
2.4,300,0.7246,,,,,4.3181818181818185e-06
2.56,320,0.6867,,,,,3.181818181818182e-06
2.7199999999999998,340,0.6399,,,,,2.0454545454545457e-06
2.88,360,0.6845,,,,,9.090909090909091e-07
3.0,375,,0.767704427242279,0.742,0.5236369380452905,0.08588572283182978,
3.0,375,,,,,,
